iter	loss	
 9.0000e+00	 5.2747e+03	
 1.0000e+01	 5.4359e+03	
 1.1000e+01	 5.5009e+03	
 1.2000e+01	 5.5897e+03	
 1.3000e+01	 5.5766e+03	
 1.4000e+01	 5.6594e+03	
 1.5000e+01	 5.6533e+03	
 1.6000e+01	 5.6547e+03	
 1.7000e+01	 5.4309e+03	
 1.8000e+01	 5.6966e+03	
 1.9000e+01	 5.7604e+03	
 1.0000e+00	 6.0211e+03	
 1.0000e+00	 6.0875e+03	
 2.0000e+00	 6.1902e+03	
 3.0000e+00	 6.3008e+03	
 4.0000e+00	 6.2577e+03	
 5.0000e+00	 6.1883e+03	
 6.0000e+00	 6.3358e+03	
 7.0000e+00	 6.3678e+03	
 8.0000e+00	 6.4397e+03	
 9.0000e+00	 6.5881e+03	
 1.0000e+01	 6.7684e+03	
 1.1000e+01	 6.8410e+03	
 1.2000e+01	 6.9400e+03	
 1.3000e+01	 6.9255e+03	
 1.4000e+01	 7.0176e+03	
 1.5000e+01	 7.0109e+03	
 1.6000e+01	 7.0124e+03	
 1.7000e+01	 6.7607e+03	
 1.8000e+01	 7.0564e+03	
 1.9000e+01	 7.1275e+03	
 1.0000e+00	 7.4192e+03	
 1.0000e+00	 7.4930e+03	
 2.0000e+00	 7.6072e+03	
 3.0000e+00	 7.7297e+03	
 4.0000e+00	 7.6817e+03	
 5.0000e+00	 7.6049e+03	
 6.0000e+00	 7.7683e+03	
 7.0000e+00	 7.8040e+03	
 8.0000e+00	 7.8835e+03	
 9.0000e+00	 8.0476e+03	
 1.0000e+01	 8.2471e+03	
 1.1000e+01	 8.3273e+03	
 1.2000e+01	 8.4365e+03	
 1.3000e+01	 8.4205e+03	
 1.4000e+01	 8.5219e+03	
 1.5000e+01	 8.5146e+03	
 1.6000e+01	 8.5162e+03	
 1.7000e+01	 8.2367e+03	
 1.8000e+01	 8.5623e+03	
 1.9000e+01	 8.6408e+03	
 1.0000e+00	 8.9635e+03	
 1.0000e+00	 9.0445e+03	
 2.0000e+00	 9.1704e+03	
 3.0000e+00	 9.3046e+03	
 4.0000e+00	 9.2518e+03	
 5.0000e+00	 9.1676e+03	
 6.0000e+00	 9.3470e+03	
 7.0000e+00	 9.3864e+03	
 8.0000e+00	 9.4733e+03	
 9.0000e+00	 9.6533e+03	
 1.0000e+01	 9.8720e+03	
 1.1000e+01	 9.9597e+03	
 1.2000e+01	 1.0079e+04	
 1.3000e+01	 1.0062e+04	
 1.4000e+01	 1.0172e+04	
 1.5000e+01	 1.0165e+04	
 1.6000e+01	 1.0166e+04	
 1.7000e+01	 9.8588e+03	
 1.8000e+01	 1.0214e+04	
 1.9000e+01	 1.0300e+04	
 1.0000e+00	 1.0654e+04	
 1.0000e+00	 1.0742e+04	
 2.0000e+00	 1.0880e+04	
 3.0000e+00	 1.1026e+04	
 4.0000e+00	 1.0968e+04	
 5.0000e+00	 1.0877e+04	
 6.0000e+00	 1.1072e+04	
 7.0000e+00	 1.1115e+04	
 8.0000e+00	 1.1209e+04	
 9.0000e+00	 1.1405e+04	
 1.0000e+01	 1.1643e+04	
 1.1000e+01	 1.1738e+04	
 1.2000e+01	 1.1868e+04	
 1.3000e+01	 1.1849e+04	
 1.4000e+01	 1.1969e+04	
 1.5000e+01	 1.1961e+04	
 1.6000e+01	 1.1962e+04	
 1.7000e+01	 1.1627e+04	
 1.8000e+01	 1.2013e+04	
 1.9000e+01	 1.2106e+04	
 1.0000e+00	 1.2490e+04	
 1.0000e+00	 1.2586e+04	
 2.0000e+00	 1.2735e+04	
 3.0000e+00	 1.2893e+04	
 4.0000e+00	 1.2830e+04	
 5.0000e+00	 1.2732e+04	
 6.0000e+00	 1.2943e+04	
 7.0000e+00	 1.2989e+04	
 8.0000e+00	 1.3091e+04	
 9.0000e+00	 1.3303e+04	
 1.0000e+01	 1.3560e+04	
 1.1000e+01	 1.3663e+04	
 1.2000e+01	 1.3803e+04	
 1.3000e+01	 1.3782e+04	
 1.4000e+01	 1.3912e+04	
 1.5000e+01	 1.3903e+04	
 1.6000e+01	 1.3905e+04	
 1.7000e+01	 1.3541e+04	
 1.8000e+01	 1.3957e+04	
 1.9000e+01	 1.4057e+04	
 1.0000e+00	 1.4473e+04	
 1.0000e+00	 1.4576e+04	
 2.0000e+00	 1.4737e+04	
 3.0000e+00	 1.4906e+04	
 4.0000e+00	 1.4839e+04	
 5.0000e+00	 1.4733e+04	
 6.0000e+00	 1.4960e+04	
 7.0000e+00	 1.5010e+04	
 8.0000e+00	 1.5120e+04	
 9.0000e+00	 1.5347e+04	
 1.0000e+01	 1.5623e+04	
 1.1000e+01	 1.5734e+04	
 1.2000e+01	 1.5884e+04	
 1.3000e+01	 1.5862e+04	
 1.4000e+01	 1.6001e+04	
 1.5000e+01	 1.5991e+04	
 1.6000e+01	 1.5993e+04	
 1.7000e+01	 1.5602e+04	
 1.8000e+01	 1.6048e+04	
 1.9000e+01	 1.6155e+04	
 1.0000e+00	 1.6602e+04	
 1.0000e+00	 1.6712e+04	
 2.0000e+00	 1.6884e+04	
 3.0000e+00	 1.7066e+04	
 4.0000e+00	 1.6994e+04	
 5.0000e+00	 1.6880e+04	
 6.0000e+00	 1.7123e+04	
 7.0000e+00	 1.7177e+04	
 8.0000e+00	 1.7294e+04	
 9.0000e+00	 1.7537e+04	
 1.0000e+01	 1.7833e+04	
 1.1000e+01	 1.7951e+04	
 1.2000e+01	 1.8111e+04	
 1.3000e+01	 1.8087e+04	
 1.4000e+01	 1.8236e+04	
 1.5000e+01	 1.8225e+04	
 1.6000e+01	 1.8227e+04	
 1.7000e+01	 1.7809e+04	
 1.8000e+01	 1.8284e+04	
 1.9000e+01	 1.8399e+04	
 1.0000e+00	 1.8877e+04	
 1.0000e+00	 1.8994e+04	
 2.0000e+00	 1.9178e+04	
 3.0000e+00	 1.9372e+04	
 4.0000e+00	 1.9294e+04	
 5.0000e+00	 1.9173e+04	
 6.0000e+00	 1.9432e+04	
 7.0000e+00	 1.9490e+04	
 8.0000e+00	 1.9615e+04	
 9.0000e+00	 1.9874e+04	
 1.0000e+01	 2.0188e+04	
 1.1000e+01	 2.0314e+04	
 1.2000e+01	 2.0484e+04	
 1.3000e+01	 2.0459e+04	
 1.4000e+01	 2.0617e+04	
 1.5000e+01	 2.0606e+04	
 1.6000e+01	 2.0608e+04	
 1.7000e+01	 2.0161e+04	
 1.8000e+01	 2.0667e+04	
 1.9000e+01	 2.0789e+04	
 1.0000e+00	 2.1298e+04	
 1.0000e+00	 2.1423e+04	
 2.0000e+00	 2.1618e+04	
 3.0000e+00	 2.1823e+04	
 4.0000e+00	 2.1741e+04	
 5.0000e+00	 2.1613e+04	
 6.0000e+00	 2.1888e+04	
 7.0000e+00	 2.1949e+04	
 8.0000e+00	 2.2082e+04	
 9.0000e+00	 2.2356e+04	
 1.0000e+01	 2.2690e+04	
 1.1000e+01	 2.2823e+04	
 1.2000e+01	 2.3004e+04	
 1.3000e+01	 2.2977e+04	
 1.4000e+01	 2.3144e+04	
 1.5000e+01	 2.3133e+04	
 1.6000e+01	 2.3135e+04	
 1.7000e+01	 2.2660e+04	
 1.8000e+01	 2.3196e+04	
 1.9000e+01	 2.3326e+04	
 1.0000e+00	 2.3865e+04	
 1.0000e+00	 2.3997e+04	
 2.0000e+00	 2.4204e+04	
 3.0000e+00	 2.4421e+04	
 4.0000e+00	 2.4334e+04	
 5.0000e+00	 2.4199e+04	
 6.0000e+00	 2.4490e+04	
 7.0000e+00	 2.4555e+04	
 8.0000e+00	 2.4694e+04	
 9.0000e+00	 2.4985e+04	
 1.0000e+01	 2.5338e+04	
 1.1000e+01	 2.5478e+04	
 1.2000e+01	 2.5669e+04	
 1.3000e+01	 2.5641e+04	
 1.4000e+01	 2.5818e+04	
 1.5000e+01	 2.5806e+04	
 1.6000e+01	 2.5808e+04	
 1.7000e+01	 2.5305e+04	
 1.8000e+01	 2.5871e+04	
 1.9000e+01	 2.6008e+04	
 1.0000e+00	 2.6579e+04	
 1.0000e+00	 2.6718e+04	
 2.0000e+00	 2.6937e+04	
 3.0000e+00	 2.7165e+04	
 4.0000e+00	 2.7074e+04	
 5.0000e+00	 2.6931e+04	
 6.0000e+00	 2.7237e+04	
 7.0000e+00	 2.7306e+04	
 8.0000e+00	 2.7453e+04	
 9.0000e+00	 2.7760e+04	
 1.0000e+01	 2.8132e+04	
 1.1000e+01	 2.8280e+04	
 1.2000e+01	 2.8481e+04	
 1.3000e+01	 2.8452e+04	
 1.4000e+01	 2.8637e+04	
 1.5000e+01	 2.8625e+04	
 1.6000e+01	 2.8627e+04	
 1.7000e+01	 2.8097e+04	
 1.8000e+01	 2.8692e+04	
 1.9000e+01	 2.8837e+04	
 1.0000e+00	 2.9438e+04	
